Position,title,link
"1","#223 – AMA #39: The Centenarian Decathlon, zone 2, VO2 max, and more","https://peterattiamd.com/ama39/"
"2","How to incorporate high-intensity training (Zone 5) to increase VO2 max and optimize fitness","https://peterattiamd.com/high-intensity-training-zone-5-to-increase-vo2-max/"
"3","The difference between maximum aerobic capacity and efficiency","https://peterattiamd.com/why-a-higher-vo2-max-isnt-always-better/"
"4","Breaking down VO2 max: Definition, history, why it plateaus, and whether it really matters","https://peterattiamd.com/breaking-down-vo2-max/"
"5","#206 – Exercising for longevity: strength, stability, zone 2, zone 5, and more","https://peterattiamd.com/exercising-for-longevity/"
"6","How to find your “Zone 2” without using a lactate meter","https://peterattiamd.com/how-to-find-your-zone-2-without-using-a-lactate-meter/"
"7","#201 – Deep dive back into Zone 2 | Iñigo San-Millán, Ph.D. (Pt. 2)","https://peterattiamd.com/inigosanmillan2/"
"8","#199 – Running, overcoming challenges, and finding success | Ryan Hall","https://peterattiamd.com/ryanhall/"
"10","Peter Attia on Zone 5 & Anaerobic Training Protocols","https://peterattiamd.com/peter-attia-on-zone-5-anaerobic-training-protocols/"
"12","Q&A on Zone 2 Exercise with Peter Attia, M.D.","https://peterattiamd.com/live-qa-on-zone-2-exercise/"
"13","#176 – AMA #27: The importance of muscle mass, strength, and cardiorespiratory fitness for longevity","https://peterattiamd.com/ama27/"
"16","#151 – Alex Hutchinson, Ph.D.: Translating the science of endurance and extreme human performance","https://peterattiamd.com/alexhutchinson/"
"18","#145 – AMA #19: Deep dive on Zone 2 training, magnesium supplementation, and how to engage with your doctor","https://peterattiamd.com/ama19/"
"19","#144 – Phil Maffetone: Optimizing health and performance through maximal aerobic function","https://peterattiamd.com/philmaffetone/"
"21","#134 – James O’Keefe, M.D.: Preventing cardiovascular disease and the risk of too much exercise","https://peterattiamd.com/jamesokeefe/"
"23","#111 – AMA #14: What lab tests can (and cannot) inform us about our overall objective of longevity","https://peterattiamd.com/ama14/"
"25","#85 – Iñigo San Millán, Ph.D.: Zone 2 Training and Metabolic Health","https://peterattiamd.com/inigosanmillan/"
